"CANCION","GRUPO/ARTISTA","GENERO","PUNTUACION","IMPACTO SOCIAL","TIPO DE IMPACTO","DESCRIPCION","AÑO"
"LA CALOR","BARETO – BOLETO","FUNK/SOUL","826","9","POLITICO","D_393","2006"
"BOLETO","BARETO – BOLETO","FUNK/SOUL","826","7","CULTURAL","D_394","2006"
"OMBLIGO","BARETO – BOLETO","FUNK/SOUL","826","6","POLITICO","D_395","2006"
"TARANTINO","BARETO – BOLETO","FUNK/SOUL","826","9","RELIGION","D_396","2006"
"CHOQUE Y FUGA","BARETO – BOLETO","FUNK/SOUL","826","8","ECONOMICO","D_397","2006"
"BATUSAMBA DISCO (POPURRI)","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","814","3","RELIGION","D_398","1979"
"MICHELLA","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","814","2","POLITICO","D_399","1979"
"SAMBA CLUB","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","814","5","SOCIAL","D_400","1979"
"KRIOLA","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","814","10","SOCIAL","D_401","1979"
"BLACK COCO","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","814","5","SOCIAL","D_402","1979"
"NEGRO LATINO","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","814","7","RELIGION","D_403","1979"
"MIRANTE AHORA","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","814","1","EDUCATIVO","D_404","1979"
"LA FIESTA DE MARIA DOLORES","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","POLITICO","D_405","1978"
"CARIÑITO","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","POLITICO","D_406","1978"
"SI ME QUIERES DI","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","POLITICO","D_407","1978"
"ELSA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","9","EDUCATIVO","D_408","1978"
"OJOS CHINOS","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","7","CULTURAL","D_409","1978"
"MIRA MIRA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","5","AMBIENTAL","D_410","1978"
"LA REBELDE","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","RELIGION","D_411","1978"
"ALEGRE AMANECER","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","CULTURAL","D_412","1978"
"EL RASCA RASCA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","4","CULTURAL","D_413","1978"
"EL PAI MAI","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","5","RELIGION","D_414","1978"
"GARIBALDI PUM","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","4","SOCIAL","D_415","1978"
"DON TORIBIO CARAMBOLA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","4","RELIGION","D_416","1978"
"LA BOLITA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","7","AMBIENTAL","D_417","1978"
"LLEGO LA BANDA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","3","EDUCATIVO","D_418","1978"
"CALIENTE","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","ECONOMICO","D_419","1978"
"LA BALA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","1","SOCIAL","D_420","1978"
"MIRA PARA ARRIBA, MIRA PARA ABAJO","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","5","AMBIENTAL","D_421","1978"
"POR UNA NEGRITA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","9","POLITICO","D_422","1978"
"EL TACONAZO","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","7","EDUCATIVO","D_423","1978"
"CASATSCHOK","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","9","ECONOMICO","D_424","1978"
"SI NO VAS A LA PACHANGA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","5","RELIGION","D_425","1978"
"NOSTALGIA CHALACA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","4","AMBIENTAL","D_426","1978"
"APAGA LA LUZ","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","CULTURAL","D_427","1978"
"ADOLORIDO","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","9","EDUCATIVO","D_428","1978"
"MAMA YO QUIERO","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","SOCIAL","D_429","1978"
"AURORA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","6","CULTURAL","D_430","1978"
"1, 2 Y 3","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","5","POLITICO","D_431","1978"
"AY MAMA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","RELIGION","D_432","1978"
"HOGAR DULCE HOGAR","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","EDUCATIVO","D_433","1978"
"POROMPOMPON","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","8","RELIGION","D_434","1978"
"TRACATRA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","3","AMBIENTAL","D_435","1978"
"BORRIQUITO","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","2","RELIGION","D_436","1978"
"AGUITA PARA LA NIÑA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","7","ECONOMICO","D_437","1978"
"RUMORES","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","4","RELIGION","D_438","1978"
"MAS FUERTE QUE NUNGUNA","OTTO DE ROJAS Y SU ORQUESTA – ¡QUE TAL FIESTON!","FUNK/SOUL","734","9","EDUCATIVO","D_439","1978"
"PLASTICO","WILLIE COLON* & RUBEN BLADES – SIEMBRA","FUNK/SOUL","987","1","AMBIENTAL","D_440","1978"
"BUSCANDO GUAYABA","WILLIE COLON* & RUBEN BLADES – SIEMBRA","FUNK/SOUL","987","5","EDUCATIVO","D_441","1978"
"PEDRO NAVAJA","WILLIE COLON* & RUBEN BLADES – SIEMBRA","FUNK/SOUL","987","8","EDUCATIVO","D_442","1978"
"MARIA LIONZA","WILLIE COLON* & RUBEN BLADES – SIEMBRA","FUNK/SOUL","987","9","RELIGION","D_443","1978"
"OJOS","WILLIE COLON* & RUBEN BLADES – SIEMBRA","FUNK/SOUL","987","8","CULTURAL","D_444","1978"
"DIME","WILLIE COLON* & RUBEN BLADES – SIEMBRA","FUNK/SOUL","987","4","ECONOMICO","D_445","1978"
"SIEMBRA","WILLIE COLON* & RUBEN BLADES – SIEMBRA","FUNK/SOUL","987","4","AMBIENTAL","D_446","1978"
"VIAJANDO CON UN LOCO","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","8","POLITICO","D_447","1973"
"EL GUARDA CABALLOS","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","8","AMBIENTAL","D_448","1973"
"EL MONITO Y LA JIRAFA","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","7","SOCIAL","D_449","1973"
"CHUPATE EL DEDO","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","5","SOCIAL","D_450","1973"
"SIEMPRE CONTAGIANDO","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","7","ECONOMICO","D_451","1973"
"MI PEQUEÑA KARIM","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","9","RELIGION","D_452","1973"
"EL NARANJAL","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","7","POLITICO","D_453","1973"
"POBRE CORAZON","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","7","POLITICO","D_454","1973"
"EL QUESITO","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","10","SOCIAL","D_455","1973"
"UN RECUERDO PARA TI","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","7","AMBIENTAL","D_456","1973"
"EL BOTECITO","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","3","AMBIENTAL","D_457","1973"
"PASEANDO EN EL BOSQUE","LOS ORIENTALES DE PARAMONGA – ¡TREMENDO RITMO! CON LOS ORIENTALES DE PARAMONGA","FUNK/SOUL","966","6","CULTURAL","D_458","1973"
"NUBES","BOSSA 70 – BOSSA 70","FUNK/SOUL","840","5","CULTURAL","D_459","1970"
"GET OUT OF MY WAY","BOSSA 70 – BOSSA 71","FUNK/SOUL","840","1","RELIGION","D_460","1970"
"TE QUIERO BIEN","BOSSA 70 – BOSSA 72","FUNK/SOUL","840","6","SOCIAL","D_461","1970"
"THINK","BOSSA 70 – BOSSA 73","FUNK/SOUL","840","8","EDUCATIVO","D_462","1970"
"NUNCA TE OLVIDARE","BOSSA 70 – BOSSA 74","FUNK/SOUL","840","10","AMBIENTAL","D_463","1970"
"NO SABES NADA","BOSSA 70 – BOSSA 75","FUNK/SOUL","840","5","RELIGION","D_464","1970"
"ME QUEDO CON EL SHINGALING","BOSSA 70 – BOSSA 76","FUNK/SOUL","840","5","POLITICO","D_465","1970"
"OTRA VEZ","BOSSA 70 – BOSSA 77","FUNK/SOUL","840","2","RELIGION","D_466","1970"
"BIRIMBAO","BOSSA 70 – BOSSA 78","FUNK/SOUL","840","4","AMBIENTAL","D_467","1970"
"CUELGALO BIEN ALTO","BOSSA 70 – BOSSA 79","FUNK/SOUL","840","5","AMBIENTAL","D_468","1970"
"MANGO MANGUE","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","5","CULTURAL","D_469","1968"
"EL YOYO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","8","SOCIAL","D_470","1968"
"EL ARECIBO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","7","POLITICO","D_471","1968"
"NO COMA CUENTO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","10","RELIGION","D_472","1968"
"COMPAY CHIFUCO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","10","ECONOMICO","D_473","1968"
"MIRA DESCARGA","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","4","RELIGION","D_474","1968"
"LINDA PERUANA","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","3","ECONOMICO","D_475","1968"
"ORIZA OCO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","8","AMBIENTAL","D_476","1968"
"CALIENTE GUAGUANCO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","9","EDUCATIVO","D_477","1968"
"DESCARGA EN BOTELLA Y GUIRO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","5","EDUCATIVO","D_478","1968"
"NO AGUANTO MAS","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","5","SOCIAL","D_479","1968"
"CON MI MAMBO","MITA Y SU MONTE ADENTRO – ARECIBO","FUNK/SOUL","886","5","SOCIAL","D_480","1968"
"LUCIERNAGA","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","10","CULTURAL","D_481","1975"
"CUCULI","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","8","CULTURAL","D_482","1975"
"CORRE CARACOL CORRE","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","7","CULTURAL","D_483","1975"
"LUZ Y SOMBRA","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","8","AMBIENTAL","D_484","1975"
"ELLA ES PARA MI","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","4","POLITICO","D_485","1975"
"PELIGROSA","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","9","EDUCATIVO","D_486","1975"
"PENAS","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","7","AMBIENTAL","D_487","1975"
"QUERIDA LUISA","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","8","EDUCATIVO","D_488","1975"
"SUEÑOS","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","10","POLITICO","D_489","1975"
"ME SIENTO FELIZ","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","7","ECONOMICO","D_490","1975"
"YO PECADOR","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","7","POLITICO","D_491","1975"
"HOMENAJE A COCO MARTINEZ","LOS ECOS – PELIGROSA!","FUNK/SOUL","998","5","POLITICO","D_492","1975"
"TRISTE ADIOS","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","8","EDUCATIVO","D_493","1974"
"NO SE","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","7","RELIGION","D_494","1974"
"HAS DE SER MI MUJER","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","5","AMBIENTAL","D_495","1974"
"LA NOCHE DEL MUNDO","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","8","SOCIAL","D_496","1974"
"SI ESTA CALLE FUESE MIA","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","8","AMBIENTAL","D_497","1974"
"QUIEN PARARA LA LLUVIA","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","8","SOCIAL","D_498","1974"
"GITANA","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","1","RELIGION","D_499","1974"
"SENSACION","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","8","RELIGION","D_500","1974"
"MUÑECA","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","8","AMBIENTAL","D_501","1974"
"TE HE DE RECORDAR","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","5","ECONOMICO","D_502","1974"
"EN EL SOL","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","3","SOCIAL","D_503","1974"
"REFLEJOS DEL SILENCIO","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","9","ECONOMICO","D_504","1974"
"NUESTRO AMOR NO ES COSTUMBRE","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","7","SOCIAL","D_505","1974"
"AYER","LOS DATSUN'S – MUÑECA","FUNK/SOUL","887","10","AMBIENTAL","D_506","1974"
"TU TAMBIEN ME HACES FALTA","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","3","CULTURAL","D_507","1979"
"CORAZONES DE FUEGO","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","7","AMBIENTAL","D_508","1979"
"NO QUIERO BAJAR DE MI NUBE","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","6","POLITICO","D_509","1979"
"QUIEREME","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","5","AMBIENTAL","D_510","1979"
"IBIZA","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","9","CULTURAL","D_511","1979"
"MAMMA MIA","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","5","CULTURAL","D_512","1979"
"QUERERTE A TI","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","3","CULTURAL","D_513","1979"
"LASTIMA","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","10","SOCIAL","D_514","1979"
"HABLANDO DE TI","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","9","RELIGION","D_515","1979"
"SOMBRAS","ANGELA CARRASCO – QUERERTE A TI","FUNK/SOUL","874","9","RELIGION","D_516","1979"
"EL CHUPETO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","10","AMBIENTAL","D_517","1979"
"EL CHUPON","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","8","RELIGION","D_518","1979"
"SE VA EL CAIMAN","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","8","EDUCATIVO","D_519","1979"
"ARTILLERO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","9","RELIGION","D_520","1979"
"LA MAFAFA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","POLITICO","D_521","1979"
"COMO EL PAJARILLO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","10","SOCIAL","D_522","1979"
"MARIA PERALTA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","6","POLITICO","D_523","1979"
"EN EL BOSQUE DE LA CHINA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","AMBIENTAL","D_524","1979"
"SE VA LA LANCHA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","3","AMBIENTAL","D_525","1979"
"EL BARCO EN LA BAHIA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","RELIGION","D_526","1979"
"SALUD, DINERO Y AMOR","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","8","RELIGION","D_527","1979"
"CACHITO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","5","CULTURAL","D_528","1979"
"TIPITIPITIN","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","1","POLITICO","D_529","1979"
"LA VIEJA SE RIO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","8","AMBIENTAL","D_530","1979"
"AHORA LE TOCA AL VECINO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","1","ECONOMICO","D_531","1979"
"MAÑANA POR LA MAÑANA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","6","RELIGION","D_532","1979"
"LOLA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","EDUCATIVO","D_533","1979"
"CEFERINO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","1","AMBIENTAL","D_534","1979"
"DONDE ESTAS CORAZON","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","EDUCATIVO","D_535","1979"
"EL POROMPOMPON","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","5","RELIGION","D_536","1979"
"EL PUENTE SOBRE EL RIO KWAI","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","3","POLITICO","D_537","1979"
"ME HE DE COMER ESA TUNA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","9","ECONOMICO","D_538","1979"
"¡OH SUSANA!","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","AMBIENTAL","D_539","1979"
"TU Y LAS NUBES","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","9","RELIGION","D_540","1979"
"AY JALISCO NO TE RAJES","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","ECONOMICO","D_541","1979"
"GARIBALDI ¡PUM!","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","4","AMBIENTAL","D_542","1979"
"LA PITITA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","6","RELIGION","D_543","1979"
"MUÑEQUITA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","8","EDUCATIVO","D_544","1979"
"TUTTI FRUTTI","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","3","CULTURAL","D_545","1979"
"QUIEN PUSO EL BOMP","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","CULTURAL","D_546","1979"
"HERMOSA LAURA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","3","POLITICO","D_547","1979"
"LA PLAGA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","8","AMBIENTAL","D_548","1979"
"VOLVAMOS ATRAS","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","5","SOCIAL","D_549","1979"
"MUÑEQUITA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","5","RELIGION","D_550","1979"
"CAMINO AL CIELO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","SOCIAL","D_551","1979"
"EL GORDO","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","EDUCATIVO","D_552","1979"
"MIRA, MIRA, MIRALA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","POLITICO","D_553","1979"
"YO NO SE QUE SERA","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","4","RELIGION","D_554","1979"
"AY DOCTOR","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","7","EDUCATIVO","D_555","1979"
"QUE TE MATE EL TREN","RULLI RENDO, ORQUESTA Y COROS","FUNK/SOUL","985","10","CULTURAL","D_556","1979"
"AL CALLAO","ORQ. SANTA GARCHIA","SALSA","985","5","RELIGION","D_557",""
"COMO FUE","PERU SALSA ALL STAR","SALSA","966","7","ECONOMICO","D_558",""
"ESPIRITUALMENTE","ORQ. SANTA GARCHIA","SALSA","985","9","ECONOMICO","D_559",""
"EL HOMBRE QUE YO AMO","PERU SALSA ALL STAR","SALSA","800","7","RELIGION","D_560",""
"SIN TI","PERU SALSA ALL STAR","SALSA","800","7","EDUCATIVO","D_561",""
"EL VIENTO","PERU SALSA ALL STAR","SALSA","800","8","SOCIAL","D_562",""
"JAMAS TE DEJARE","PERU SALSA ALL STAR","SALSA","800","8","CULTURAL","D_563",""
"LA GATA BAJO LA LLUVIA","PERU SALSA ALL STAR","SALSA","800","8","AMBIENTAL","D_564",""
"TRIBUTO A LA PONCEÑA","PERU SALSA ALL STAR","SALSA","800","9","POLITICO","D_565",""
"QUIEREME","LA SOCIEDAD DEL BARRANCO","SALSA","985","8","CULTURAL","D_566",""
"REPRESION","NARCOSIS","ROCK","910","7","RELIGION","D_567",""
"DESTRUIR","NARCOSIS","ROCK","910","5","POLITICO","D_568",""
"TRISTE FINAL","NARCOSIS","ROCK","910","10","ECONOMICO","D_569",""
"LA DANZA DE LOS CRISTALES","NARCOSIS","ROCK","910","1","SOCIAL","D_570",""
"DESTINO","NARCOSIS","ROCK","910","3","RELIGION","D_571",""
"ASFIXIA","NARCOSIS","ROCK","910","8","RELIGION","D_572",""
"DESTRUYEME","SOCIEDAD ANONIMA","ROCK","910","7","SOCIAL","D_573",""
"COSTO DE VIDA","SOCIEDAD ANONIMA","ROCK","910","4","SOCIAL","D_574",""
"EL JARDIN TROPICAL","CHARLIE PALOMARES","SALSA","850","6","SOCIAL","D_575",""
"EL HOMBRE","CHARLIE PALOMARES","SALSA","850","4","RELIGION","D_576",""
"IDOLOS","DANAI & PATEANDO LATAS","ROCK","830","8","AMBIENTAL","D_577",""
"CUANDO LA CAMA ME DA VUELTAS","ARENA HASH","ROCK","985","9","AMBIENTAL","D_578",""
"PRONOSTICO RESERVADO","LA BANDA AZUL","ROCK","900","8","AMBIENTAL","D_579",""
"EXTRAÑOS","DUDO","ROCK","900","10","CULTURAL","D_580",""
"LAS TORRES","NOSEQUIEN Y LOS NOSECUANTOS","ROCK","900","6","SOCIAL","D_581",""
"SIN PARAR","IVONNE Y LOS MERCANTILES","ROCK","900","5","EDUCATIVO","D_582",""
"DAME MI PELOTA","LOS ZOPILOTES ","ROCK","900","9","RELIGION","D_583",""
"TEMA PARA JOVENES ENAMORADOS","LOS BELKING'S","FOLK","840","8","ECONOMICO","D_584",""
"SEPTIMA PATRULLA","LOS BELKING'S","FOLK","860","8","ECONOMICO","D_585",""
"AMOR IMPOSIBLE ","LOS BELKING'S","FOLK","850","5","ECONOMICO","D_586",""
"TAL COMO TU ERES","LOS BELKING'S","FOLK","900","8","ECONOMICO","D_587",""
"HOJAS MUERTAS","LOS BELKING'S","FOLK","850","5","EDUCATIVO","D_588",""
"BOLIDO DE  FUEGO ","LOS BELKING'S","FOLK","830","8","AMBIENTAL","D_589",""
"LA LLUVIA DE TUS OJOS","LOS BELKING'S","FOLK","900","10","CULTURAL","D_590",""
"CONTESTAME","RIO","ROCK","896","8","EDUCATIVO","D_591",""
"LA UNIVERSIDAD","RIO","ROCK","896","9","POLITICO","D_592",""
"LO PEOR DE TODO","RIO","ROCK","896","9","AMBIENTAL","D_593",""
"NO QUIERO VERTE MAS","RIO","ROCK","896","2","SOCIAL","D_594",""
"TODO ESTABA BIEN","RIO","ROCK","896","8","SOCIAL","D_595",""
"LO EMPIEZO A ODIAR","RIO","ROCK","896","8","POLITICO","D_596",""
"A LA DROGA DILE NO ","RIO","ROCK","896","9","ECONOMICO","D_597",""
"TELEVIDENTE","RIO","ROCK","800","9","AMBIENTAL","D_598",""
"ALGO DE TI ","RIO","ROCK","800","5","ECONOMICO","D_599",""
"Y LLORO","RIO","ROCK","800","4","EDUCATIVO","D_600",""
"ABANDONADO","RIO","ROCK","800","9","SOCIAL","D_601",""
"ESTAS EN NADA","RIO","ROCK","800","6","ECONOMICO","D_602",""
"LEJOS DE TI","RIO","ROCK","800","7","CULTURAL","D_603",""
"PARA AMARTE","RIO","ROCK","800","8","AMBIENTAL","D_604",""
"NO ES TAN FACIL","RIO","ROCK","800","8","POLITICO","D_605",""
"SIN TI ","RIO","ROCK","800","8","POLITICO","D_606",""
"VACIO","RIO","ROCK","800","6","CULTURAL","D_607",""
"ME RESFRIE EN BRASIL","ARENA HASH","POP-ROCK","896","6","SOCIAL","D_608",""
"DIFAMACION","ARENA HASH","POP-ROCK","896","3","RELIGION","D_609",""
"MIL HORAS DE AMOR","ARENA HASH","POP-ROCK","896","10","RELIGION","D_610",""
"DIAS DE INFANCIA","ARENA HASH","POP-ROCK","896","5","RELIGION","D_611",""
"EL CANGREJO","ARENA HASH","POP-ROCK","896","9","SOCIAL","D_612",""
"NO CAMBIARE","ARENA HASH","POP-ROCK","896","7","EDUCATIVO","D_613",""
